input_bod,input_cod,input_heavy_metals,input_virus,input_bacteria,pH,temperature,flow_rate,biofilter_media,filter_age,output_bod,output_cod,output_heavy_metals,output_virus,output_bacteria,recommended_biofilter
307.1,1168.2,0.013,216,5586,6.33,36.6,4.06,gravel,94,99.8,237.6,0.003,25,959,Trickling Biofilter
362.8,1138.7,0.066,66,9622,6.55,28.3,8.7,woodchips,13,134.5,368.5,0.022,8,1153,Trickling Biofilter
566.8,621.6,0.043,186,9430,7.75,25.2,4.91,biochar,47,204.3,132.2,0.006,43,2373,Advanced Bio-scrubber
203.8,1048.2,0.111,160,7447,7.6,37.3,2.74,biochar,50,42.4,232.3,0.037,28,1633,Advanced Bio-scrubber
398.8,1029.0,0.147,103,3345,7.94,33.4,2.72,woodchips,90,110.0,339.6,0.045,33,518,Trickling Biofilter
447.3,451.0,0.042,201,1075,6.77,29.0,7.92,gravel,23,92.6,118.4,0.014,58,162,Trickling Biofilter
108.8,1011.8,0.1,98,6877,8.38,29.8,3.39,biochar,80,24.0,272.8,0.032,33,2030,Trickling Biofilter
456.7,140.7,0.034,234,7785,6.21,24.1,7.91,biochar,95,146.3,41.8,0.008,46,2121,Trickling Biofilter
185.7,755.9,0.087,33,5922,7.14,32.5,2.85,biochar,60,69.6,299.1,0.014,11,1551,Trickling Biofilter
120.3,353.0,0.072,234,9090,8.3,27.2,3.9,gravel,74,26.9,138.8,0.019,84,1142,Trickling Biofilter
668.3,232.6,0.146,147,3330,6.13,39.9,5.19,gravel,61,194.0,65.9,0.057,30,836,Trickling Biofilter
678.7,184.6,0.093,267,5686,5.88,29.6,9.49,gravel,39,259.4,46.7,0.026,54,813,Advanced Bio-scrubber
581.2,865.9,0.056,48,2902,8.59,29.7,9.39,biochar,66,210.9,225.6,0.006,18,857,Trickling Biofilter
268.9,473.9,0.022,299,5670,6.7,31.3,2.86,activated carbon,88,81.7,120.3,0.003,34,626,Trickling Biofilter
140.6,897.2,0.027,221,8143,7.89,38.3,4.22,woodchips,91,49.8,274.9,0.011,45,1388,Trickling Biofilter
504.2,171.9,0.038,76,3059,5.59,36.0,2.34,activated carbon,39,153.5,55.2,0.005,10,568,Trickling Biofilter
352.9,446.8,0.041,237,1140,7.92,29.0,5.59,gravel,51,81.7,133.0,0.005,26,302,Trickling Biofilter
155.7,693.4,0.128,81,2789,6.61,34.4,5.15,biochar,20,35.0,195.3,0.026,11,706,Trickling Biofilter
387.0,969.8,0.086,176,1016,5.7,31.7,9.11,biochar,36,92.0,234.9,0.034,40,178,Trickling Biofilter
101.3,450.6,0.081,221,1464,7.63,29.8,9.37,activated carbon,33,27.4,133.6,0.016,68,312,Trickling Biofilter
643.8,788.5,0.022,36,5471,6.34,23.8,4.45,activated carbon,48,248.6,211.5,0.005,7,1461,Trickling Biofilter
240.4,1074.6,0.13,25,2827,6.85,29.3,5.43,woodchips,81,86.5,331.3,0.038,9,293,Trickling Biofilter
490.8,777.4,0.11,77,9711,5.78,24.9,9.07,biochar,27,140.6,260.5,0.012,18,2529,Trickling Biofilter
273.3,356.3,0.015,188,6956,6.02,38.3,8.26,activated carbon,86,81.6,116.4,0.006,73,2013,Trickling Biofilter
402.4,126.8,0.108,101,1089,6.54,26.7,1.03,woodchips,54,101.9,37.1,0.028,39,116,Compost Biofilter
419.0,1057.1,0.084,238,5815,5.81,39.0,3.88,gravel,97,142.8,329.0,0.02,79,635,Advanced Bio-scrubber
194.6,123.4,0.017,196,3851,8.69,30.7,4.8,activated carbon,96,70.2,31.7,0.006,74,650,Trickling Biofilter
681.1,1062.2,0.071,223,3843,5.52,32.6,3.07,gravel,21,168.8,217.6,0.027,70,452,Advanced Bio-scrubber
560.6,681.8,0.075,90,7543,7.19,30.9,2.8,woodchips,58,116.8,221.6,0.017,33,1477,Advanced Bio-scrubber
662.5,1133.0,0.029,285,6901,5.93,22.6,1.34,gravel,40,215.2,283.8,0.004,49,1696,Advanced Bio-scrubber
634.8,978.7,0.142,117,1969,6.58,27.5,6.79,biochar,31,198.4,326.7,0.049,24,420,Trickling Biofilter
450.7,1197.7,0.128,227,2094,8.74,22.0,3.36,biochar,53,126.4,418.5,0.028,74,292,Trickling Biofilter
651.6,485.8,0.102,21,7124,6.07,32.5,1.47,gravel,73,214.2,186.2,0.039,5,1645,Advanced Bio-scrubber
134.9,943.9,0.072,143,8347,8.88,28.9,3.08,biochar,86,41.8,369.7,0.028,50,1978,Trickling Biofilter
201.5,542.1,0.065,299,4195,6.22,35.6,8.22,woodchips,34,50.4,109.6,0.009,109,1202,Advanced Bio-scrubber
108.0,627.9,0.099,93,2404,8.1,24.4,8.66,biochar,60,30.2,250.0,0.038,18,311,Trickling Biofilter
281.7,790.3,0.084,185,7940,7.41,23.3,5.35,gravel,16,80.5,266.0,0.018,64,1893,Advanced Bio-scrubber
321.0,1061.0,0.014,41,5290,8.6,28.1,4.74,gravel,15,120.7,348.8,0.004,6,1493,Trickling Biofilter
248.2,1182.5,0.079,173,4982,7.44,38.5,9.8,gravel,33,97.3,240.1,0.009,35,998,Advanced Bio-scrubber
593.8,945.1,0.122,238,6555,7.37,34.2,2.81,activated carbon,28,224.8,351.8,0.045,61,1130,Advanced Bio-scrubber
301.2,559.5,0.072,176,8954,6.18,28.4,2.94,gravel,92,103.6,128.2,0.021,30,1201,Advanced Bio-scrubber
254.2,563.5,0.013,249,5713,6.08,30.3,3.63,woodchips,18,80.6,207.1,0.004,68,1562,Trickling Biofilter
416.5,911.3,0.119,39,4092,8.71,21.7,2.55,biochar,45,140.7,185.1,0.044,11,732,Trickling Biofilter
167.4,362.7,0.034,60,5159,6.65,39.7,4.41,biochar,49,64.9,119.4,0.009,10,1470,Compost Biofilter
577.4,221.5,0.043,167,7308,6.8,33.3,9.2,activated carbon,33,144.3,63.6,0.01,57,1970,Trickling Biofilter
126.2,490.1,0.029,127,8478,8.16,25.7,6.54,activated carbon,57,38.7,117.7,0.01,37,1486,Trickling Biofilter
691.9,416.0,0.053,103,9476,6.69,31.7,4.71,woodchips,72,233.8,92.1,0.017,20,2035,Advanced Bio-scrubber
558.8,425.9,0.115,153,5933,8.83,22.2,9.41,gravel,78,187.7,122.7,0.044,26,626,Advanced Bio-scrubber
203.2,357.0,0.08,226,5926,8.08,39.3,1.44,activated carbon,62,50.9,80.2,0.031,82,905,Trickling Biofilter
83.4,146.3,0.035,285,4969,7.59,23.5,2.89,biochar,63,26.5,43.5,0.008,100,1203,Trickling Biofilter
585.6,119.7,0.132,92,3965,8.58,33.0,6.09,activated carbon,51,210.3,38.9,0.031,16,934,Trickling Biofilter
518.3,1186.5,0.133,67,5319,5.67,24.9,6.54,activated carbon,54,152.9,433.6,0.024,7,908,Advanced Bio-scrubber
532.0,570.6,0.131,252,9975,6.4,34.4,1.36,gravel,99,190.8,191.6,0.039,86,2611,Advanced Bio-scrubber
558.2,522.8,0.04,119,8108,7.13,35.5,4.63,activated carbon,23,151.8,111.4,0.008,34,1193,Trickling Biofilter
125.9,847.6,0.07,78,4939,6.29,33.5,6.84,woodchips,38,48.8,221.6,0.024,10,950,Trickling Biofilter
302.2,340.1,0.148,277,1044,8.1,32.3,7.28,biochar,15,92.7,87.6,0.02,77,203,Trickling Biofilter
151.8,1145.0,0.117,84,2810,8.72,37.8,6.74,gravel,16,48.5,438.5,0.016,20,473,Trickling Biofilter
615.1,965.0,0.009,102,5566,6.98,21.6,3.89,biochar,46,126.9,360.5,0.001,34,1619,Trickling Biofilter
466.4,198.4,0.014,173,2909,6.7,26.6,1.84,woodchips,62,109.2,54.4,0.002,28,696,Compost Biofilter
285.2,559.3,0.072,285,7364,8.87,25.0,4.84,woodchips,27,93.1,119.8,0.021,67,1531,Advanced Bio-scrubber
119.4,1067.0,0.137,98,3581,7.06,39.8,2.16,activated carbon,96,33.9,404.2,0.02,14,724,Trickling Biofilter
272.8,1139.2,0.083,169,1691,7.21,27.8,9.53,activated carbon,47,82.3,430.2,0.012,65,223,Trickling Biofilter
281.6,614.1,0.077,67,1931,6.73,34.7,5.28,activated carbon,68,59.9,227.8,0.008,22,337,Trickling Biofilter
532.4,774.8,0.02,267,8910,8.68,33.7,3.86,biochar,10,195.3,285.9,0.007,86,2090,Advanced Bio-scrubber
475.3,283.7,0.1,297,7382,7.49,24.2,7.9,woodchips,77,169.6,84.0,0.034,91,2103,Trickling Biofilter
630.1,1190.3,0.124,117,4406,8.17,24.8,5.48,gravel,53,149.4,280.3,0.018,27,1160,Advanced Bio-scrubber
372.8,354.8,0.06,44,9339,8.34,25.6,3.79,activated carbon,56,121.9,104.8,0.019,17,1495,Trickling Biofilter
154.1,1137.0,0.117,87,2032,6.7,28.2,8.31,biochar,44,56.0,339.9,0.027,11,380,Trickling Biofilter
522.2,814.6,0.145,26,2311,7.02,24.7,8.8,activated carbon,96,171.4,242.7,0.025,9,269,Trickling Biofilter
551.7,768.5,0.035,156,9579,8.47,20.4,7.06,woodchips,69,144.6,236.5,0.01,26,1154,Advanced Bio-scrubber
428.0,664.0,0.081,183,4121,6.77,37.6,1.42,gravel,99,141.8,167.0,0.012,36,800,Advanced Bio-scrubber
558.0,353.7,0.047,102,2873,8.28,39.3,6.1,woodchips,61,135.1,96.6,0.015,26,592,Compost Biofilter
386.2,294.2,0.12,157,7781,8.79,26.8,7.87,biochar,17,101.8,84.4,0.014,53,1189,Trickling Biofilter
404.1,342.5,0.089,92,4748,7.68,26.8,2.23,activated carbon,89,100.2,77.5,0.035,32,1085,Trickling Biofilter
345.1,305.1,0.097,256,1277,8.1,20.1,3.06,woodchips,50,107.5,88.8,0.012,70,307,Trickling Biofilter
95.8,957.5,0.121,65,2859,8.32,33.6,8.94,biochar,12,21.2,346.7,0.033,14,457,Trickling Biofilter
146.9,485.1,0.062,125,6929,8.46,36.5,1.18,activated carbon,78,56.8,177.4,0.023,48,1744,Trickling Biofilter
99.5,163.6,0.138,281,7792,6.88,22.9,7.77,gravel,93,26.5,46.2,0.014,49,1100,Trickling Biofilter
474.6,1166.0,0.082,195,5713,5.68,23.2,5.26,woodchips,23,115.7,354.2,0.02,66,1193,Advanced Bio-scrubber
274.9,1072.2,0.028,185,5675,6.91,35.8,5.02,activated carbon,35,82.3,221.7,0.006,52,1480,Trickling Biofilter
395.3,1120.5,0.106,164,2170,7.86,32.3,1.06,activated carbon,79,101.0,375.2,0.029,35,450,Trickling Biofilter
642.7,1194.4,0.12,73,9681,7.08,20.9,8.37,activated carbon,67,197.3,335.5,0.02,7,2726,Advanced Bio-scrubber
234.6,291.3,0.051,197,6308,8.12,32.5,4.24,activated carbon,49,63.3,84.2,0.006,46,705,Trickling Biofilter
334.4,535.9,0.129,263,3462,6.75,26.2,5.87,woodchips,60,75.7,200.8,0.037,48,754,Advanced Bio-scrubber
548.4,934.1,0.136,146,1287,7.72,27.4,7.1,activated carbon,14,138.8,273.1,0.031,19,273,Trickling Biofilter
221.9,865.6,0.045,290,6953,6.15,35.4,7.32,biochar,86,63.8,176.8,0.013,36,1614,Trickling Biofilter
127.7,269.3,0.148,151,5282,8.12,36.2,9.6,woodchips,41,26.3,66.1,0.024,31,1409,Trickling Biofilter
259.6,997.4,0.025,112,2907,7.41,28.0,5.78,activated carbon,89,91.9,294.4,0.005,32,713,Compost Biofilter
180.0,346.9,0.034,92,2161,6.21,38.9,4.6,woodchips,10,58.4,98.8,0.009,32,558,Compost Biofilter
656.4,346.2,0.032,267,1129,6.52,28.1,9.58,biochar,86,210.2,128.8,0.009,41,178,Trickling Biofilter
581.0,690.7,0.135,292,7337,8.12,35.4,6.78,biochar,63,179.7,213.0,0.029,66,1302,Advanced Bio-scrubber
472.7,752.2,0.1,62,3363,7.19,29.7,3.68,woodchips,20,150.3,254.2,0.018,13,758,Trickling Biofilter
620.3,738.1,0.027,60,9151,6.26,38.0,2.14,activated carbon,62,240.0,216.9,0.005,15,1928,Trickling Biofilter
578.3,200.6,0.069,189,6983,8.89,38.2,8.58,activated carbon,17,116.7,57.8,0.011,65,2041,Advanced Bio-scrubber
195.7,1065.2,0.094,231,1143,8.0,21.7,4.26,biochar,34,41.0,308.1,0.019,61,157,Trickling Biofilter
633.4,392.2,0.017,187,9207,8.85,38.7,6.94,activated carbon,49,150.9,110.7,0.003,66,1568,Trickling Biofilter
414.4,242.5,0.133,58,8469,6.99,36.5,5.24,biochar,41,96.7,74.6,0.039,15,1817,Trickling Biofilter
580.6,1077.6,0.122,264,1244,7.16,35.8,2.79,activated carbon,97,137.2,269.5,0.033,74,340,Advanced Bio-scrubber
635.6,1151.2,0.078,170,1926,8.64,24.0,6.42,biochar,37,212.5,435.4,0.017,39,551,Advanced Bio-scrubber
277.2,1048.3,0.145,130,4178,7.34,36.1,1.55,gravel,87,80.9,279.5,0.029,45,699,Trickling Biofilter
148.2,990.5,0.066,66,3176,7.98,37.0,4.72,activated carbon,12,59.0,227.3,0.011,25,360,Trickling Biofilter
221.3,820.8,0.148,82,6002,6.38,25.8,5.92,activated carbon,93,54.3,180.0,0.039,24,1106,Trickling Biofilter
344.8,705.9,0.102,244,1886,7.06,39.0,4.92,activated carbon,88,90.4,143.1,0.038,84,337,Trickling Biofilter
587.2,195.7,0.097,88,9532,5.93,21.0,7.74,woodchips,71,233.0,55.7,0.03,10,2834,Trickling Biofilter
613.7,549.3,0.029,222,4398,6.22,23.0,8.45,activated carbon,36,224.8,130.5,0.009,83,819,Advanced Bio-scrubber
84.3,510.0,0.133,80,9497,5.5,30.8,7.94,woodchips,54,24.8,104.2,0.047,13,1530,Trickling Biofilter
396.7,385.7,0.067,180,3654,5.64,31.5,1.35,woodchips,34,123.3,117.3,0.014,32,632,Trickling Biofilter
338.8,895.8,0.029,35,8392,8.92,32.9,2.75,biochar,70,124.9,301.0,0.003,4,1505,Trickling Biofilter
217.7,645.5,0.007,113,2371,6.35,20.3,5.83,woodchips,53,64.5,140.2,0.002,44,627,Compost Biofilter
154.3,189.2,0.086,157,8135,7.82,39.2,9.41,woodchips,55,37.2,55.3,0.013,56,945,Trickling Biofilter
289.3,342.2,0.081,57,1320,8.44,20.9,8.51,gravel,23,105.8,119.3,0.022,21,216,Compost Biofilter
664.6,851.6,0.109,146,5654,7.43,22.9,8.58,activated carbon,17,204.4,338.2,0.035,52,1658,Advanced Bio-scrubber
280.4,183.7,0.134,294,6300,6.04,20.3,3.73,woodchips,57,64.7,61.3,0.045,72,823,Trickling Biofilter
401.7,1036.3,0.017,183,7761,8.05,31.3,4.87,activated carbon,23,121.0,258.0,0.003,69,1929,Trickling Biofilter
515.9,644.7,0.111,96,7854,7.6,38.6,5.24,woodchips,74,145.8,221.3,0.028,38,1345,Advanced Bio-scrubber
305.5,628.6,0.032,193,6505,8.06,33.3,2.42,biochar,89,114.7,200.9,0.009,48,1407,Trickling Biofilter
682.5,751.6,0.129,110,7553,8.19,36.5,1.28,gravel,91,153.7,182.2,0.045,17,906,Advanced Bio-scrubber
676.7,1007.1,0.124,257,5042,8.91,20.3,9.52,woodchips,16,253.8,372.9,0.041,76,813,Advanced Bio-scrubber
236.1,482.6,0.083,283,8498,7.51,30.8,3.17,activated carbon,88,71.4,137.8,0.033,111,1701,Advanced Bio-scrubber
388.3,845.8,0.108,198,7636,6.7,29.2,3.16,biochar,97,109.1,331.9,0.011,72,1117,Advanced Bio-scrubber
266.5,722.3,0.051,228,8362,7.77,30.0,1.75,activated carbon,58,61.9,248.9,0.012,82,1742,Advanced Bio-scrubber
256.6,393.7,0.073,92,1011,5.74,21.4,9.36,biochar,64,87.3,129.5,0.013,35,146,Compost Biofilter
102.9,1066.5,0.124,126,1194,8.64,33.7,6.22,gravel,22,39.7,368.7,0.017,46,275,Trickling Biofilter
457.9,977.2,0.072,201,3537,5.92,30.1,7.0,biochar,82,126.0,288.9,0.027,67,993,Advanced Bio-scrubber
391.7,824.3,0.057,56,3842,6.65,35.3,9.2,activated carbon,65,97.3,248.2,0.023,18,450,Trickling Biofilter
111.9,1035.6,0.077,156,3229,8.36,29.7,4.11,activated carbon,65,34.8,383.4,0.012,28,463,Advanced Bio-scrubber
252.8,1054.0,0.125,75,4009,7.59,23.0,6.59,woodchips,24,90.8,354.3,0.014,21,1078,Trickling Biofilter
643.1,879.2,0.054,206,8984,6.88,33.0,1.35,biochar,66,129.1,333.6,0.01,53,2033,Advanced Bio-scrubber
228.5,1020.7,0.03,277,3077,7.16,23.4,2.68,activated carbon,67,74.6,386.0,0.011,99,356,Trickling Biofilter
169.8,867.2,0.108,77,8845,8.49,37.4,8.48,woodchips,44,54.2,342.8,0.02,19,1745,Trickling Biofilter
383.5,848.2,0.125,142,4867,6.69,32.3,7.9,gravel,97,101.1,288.4,0.015,20,691,Trickling Biofilter
691.1,780.5,0.02,207,5873,8.54,23.1,4.16,activated carbon,25,200.6,234.5,0.002,21,821,Advanced Bio-scrubber
230.1,928.0,0.04,249,9635,5.81,39.2,4.39,woodchips,17,57.4,216.5,0.009,76,2776,Trickling Biofilter
496.7,274.5,0.026,187,1297,8.22,30.4,5.8,activated carbon,96,177.8,93.6,0.01,50,327,Compost Biofilter
552.2,1069.0,0.055,133,6856,8.47,21.5,1.0,biochar,54,180.5,276.1,0.01,27,1640,Advanced Bio-scrubber
227.3,1059.0,0.07,271,2015,6.14,32.5,3.17,woodchips,49,69.7,271.7,0.016,41,298,Trickling Biofilter
531.5,132.2,0.114,126,2384,7.01,25.1,2.87,biochar,63,148.0,32.7,0.015,30,295,Trickling Biofilter
308.0,1008.4,0.099,56,9745,6.08,36.1,3.25,gravel,23,79.5,378.2,0.025,7,2672,Trickling Biofilter
472.0,241.8,0.095,111,3350,7.97,36.4,8.25,biochar,68,172.1,90.3,0.029,22,339,Trickling Biofilter
472.8,468.6,0.056,37,2269,7.37,39.6,3.52,woodchips,62,137.2,152.9,0.01,8,403,Trickling Biofilter
412.2,917.9,0.127,82,2260,7.72,30.0,2.72,activated carbon,36,123.8,270.4,0.024,20,351,Trickling Biofilter
136.0,276.8,0.073,169,8701,6.19,29.1,5.54,woodchips,56,41.4,92.6,0.026,41,1863,Trickling Biofilter
597.9,999.8,0.147,158,9376,6.24,35.1,8.79,biochar,89,173.2,321.4,0.015,28,1407,Advanced Bio-scrubber
278.9,1015.3,0.097,205,5563,5.65,22.6,3.17,biochar,15,70.1,287.5,0.028,73,903,Advanced Bio-scrubber
195.6,658.2,0.023,204,7897,6.63,30.9,1.71,activated carbon,64,43.8,181.6,0.005,42,2132,Trickling Biofilter
105.3,107.0,0.103,224,6672,7.46,30.9,4.21,gravel,53,23.1,29.6,0.02,38,1472,Trickling Biofilter
446.4,415.7,0.052,279,6593,8.5,21.8,7.73,woodchips,27,156.9,132.1,0.015,43,851,Advanced Bio-scrubber
500.1,778.6,0.105,233,7155,7.83,28.4,5.96,activated carbon,25,122.4,256.6,0.037,46,1755,Advanced Bio-scrubber
90.3,1179.3,0.015,275,6543,7.02,37.1,8.35,activated carbon,21,19.1,342.4,0.004,33,926,Trickling Biofilter
397.5,795.0,0.03,154,8240,8.84,37.1,9.64,activated carbon,29,142.9,313.0,0.003,17,1538,Trickling Biofilter
220.4,385.8,0.129,80,5683,8.02,22.0,8.13,woodchips,54,50.9,83.6,0.031,23,1303,Trickling Biofilter
480.0,797.4,0.038,107,2881,8.76,21.8,6.43,woodchips,73,156.0,214.8,0.009,31,445,Compost Biofilter
188.1,694.0,0.126,226,9713,7.35,25.3,5.44,woodchips,68,50.4,197.0,0.033,59,1717,Advanced Bio-scrubber
508.4,957.8,0.045,148,4809,6.41,37.5,1.36,gravel,99,114.5,194.8,0.014,49,1187,Trickling Biofilter
319.8,217.7,0.098,22,6807,5.68,22.6,9.86,activated carbon,31,90.5,59.4,0.01,2,1958,Trickling Biofilter
660.8,937.1,0.106,261,5883,8.04,34.4,4.45,biochar,56,134.1,238.7,0.027,99,1211,Advanced Bio-scrubber
165.3,695.4,0.079,140,8206,5.92,22.0,2.37,biochar,38,60.9,209.5,0.022,18,837,Trickling Biofilter
291.5,1159.3,0.049,121,5155,6.56,32.5,7.0,activated carbon,95,88.2,309.9,0.01,37,864,Trickling Biofilter
150.4,476.1,0.036,57,5673,7.36,27.1,3.56,biochar,54,34.3,164.4,0.011,8,1020,Trickling Biofilter
653.3,795.9,0.01,152,2409,7.48,35.8,6.27,gravel,86,161.6,240.4,0.002,55,404,Trickling Biofilter
624.0,1125.2,0.049,221,6197,7.6,24.7,6.28,gravel,18,180.7,254.2,0.01,56,1160,Advanced Bio-scrubber
239.9,212.8,0.1,40,8452,6.08,32.8,5.01,woodchips,33,57.0,74.5,0.039,5,1915,Trickling Biofilter
489.2,1131.0,0.141,261,9718,6.83,24.7,8.53,woodchips,24,124.1,248.6,0.029,74,1207,Advanced Bio-scrubber
586.7,856.7,0.131,128,3172,7.66,34.3,3.38,woodchips,45,180.0,315.1,0.027,13,490,Advanced Bio-scrubber
424.2,174.6,0.116,103,1279,8.89,37.5,5.04,woodchips,22,155.5,67.4,0.032,34,258,Compost Biofilter
408.4,431.1,0.119,102,4977,8.05,22.5,5.84,woodchips,53,114.5,114.0,0.047,30,812,Trickling Biofilter
229.9,879.0,0.101,88,3669,8.73,37.3,6.97,biochar,80,78.9,338.6,0.04,14,1094,Trickling Biofilter
137.7,174.1,0.043,148,8825,8.17,31.9,8.06,biochar,81,51.7,62.4,0.012,31,1644,Compost Biofilter
636.3,740.4,0.137,215,4981,7.57,22.5,4.55,woodchips,87,154.8,284.7,0.014,22,1365,Advanced Bio-scrubber
638.3,480.5,0.102,159,5769,6.17,28.6,6.81,gravel,85,230.7,160.1,0.038,49,1611,Advanced Bio-scrubber
472.5,783.0,0.086,253,6247,7.83,23.2,2.36,biochar,45,166.1,193.5,0.023,50,1669,Advanced Bio-scrubber
290.2,150.3,0.021,42,5427,7.68,34.0,9.39,gravel,70,78.8,56.9,0.004,11,594,Compost Biofilter
296.5,1058.7,0.07,172,7135,7.61,35.2,4.45,gravel,90,118.0,250.8,0.024,67,2066,Advanced Bio-scrubber
530.1,1170.8,0.072,296,6573,7.21,22.1,7.57,activated carbon,49,133.9,284.1,0.016,56,827,Advanced Bio-scrubber
636.2,1165.8,0.13,80,5131,7.35,30.1,1.18,activated carbon,36,159.7,296.4,0.014,32,548,Advanced Bio-scrubber
630.0,924.6,0.084,71,8189,6.67,36.3,2.85,woodchips,10,223.3,241.2,0.029,21,1498,Advanced Bio-scrubber
563.5,243.1,0.06,172,5535,7.32,38.7,5.38,gravel,43,161.7,73.6,0.016,30,769,Advanced Bio-scrubber
478.1,934.1,0.147,256,3776,6.19,30.3,8.9,biochar,77,127.3,320.1,0.03,59,517,Advanced Bio-scrubber
132.2,127.0,0.021,51,8697,8.32,39.0,5.75,activated carbon,97,31.2,48.9,0.004,16,1370,Compost Biofilter
180.2,124.3,0.066,74,9386,6.15,30.7,9.37,activated carbon,30,63.6,27.1,0.018,17,1405,Trickling Biofilter
637.1,456.0,0.011,55,1662,5.8,27.9,5.35,gravel,42,227.6,178.2,0.002,7,394,Trickling Biofilter
456.0,637.5,0.112,129,9671,7.03,37.0,5.41,activated carbon,16,142.9,245.0,0.022,19,1328,Trickling Biofilter
85.7,947.4,0.138,196,9044,7.8,29.9,2.08,activated carbon,74,33.5,199.7,0.04,66,1887,Advanced Bio-scrubber
142.9,851.6,0.046,116,5218,7.03,29.4,8.22,biochar,12,37.7,231.7,0.017,34,1551,Trickling Biofilter
491.4,590.5,0.129,232,6060,6.47,29.8,3.22,gravel,60,119.9,214.1,0.034,63,1130,Advanced Bio-scrubber
83.1,401.0,0.047,156,6874,7.45,36.9,9.1,activated carbon,88,27.9,129.2,0.015,23,1570,Trickling Biofilter
179.7,1196.8,0.137,25,6581,6.71,36.6,9.2,gravel,63,63.2,425.8,0.045,9,1934,Trickling Biofilter
420.2,568.8,0.114,128,3014,8.77,28.1,9.49,activated carbon,89,102.9,195.6,0.034,50,384,Trickling Biofilter
509.0,596.5,0.122,54,4789,8.73,26.7,5.68,biochar,83,109.6,178.6,0.021,6,880,Advanced Bio-scrubber
484.2,280.0,0.008,58,8148,7.26,29.8,7.09,gravel,68,175.3,58.3,0.003,7,2200,Compost Biofilter
219.0,974.3,0.145,169,8766,6.65,31.5,8.01,activated carbon,15,86.6,308.7,0.033,62,2511,Advanced Bio-scrubber
521.6,863.1,0.11,137,3364,8.08,24.8,2.18,biochar,38,171.6,181.0,0.012,47,741,Advanced Bio-scrubber
227.1,342.8,0.049,280,4629,5.63,35.9,6.41,activated carbon,26,58.0,110.0,0.008,80,596,Trickling Biofilter
281.7,190.6,0.125,106,6919,7.16,29.7,1.31,gravel,69,112.5,68.6,0.041,41,1939,Trickling Biofilter
